CREATE TABLE Puzzle (_id INTEGER PRIMARY KEY,  difficulty VARCHAR(10), number INTEGER, pattern VARCHAR(82), time VARCHAR(10));
INSERT INTO Puzzle values('241', 'medium', '91', '000019002709520040150000060007084010006000200090360700070000036010038407300790000', '0');
INSERT INTO Puzzle values('242', 'medium', '92', '947000000502010300003092040016073000004060900000580670030640700001020509000000432', '0');
INSERT INTO Puzzle values('243', 'medium', '93', '023000750007025130000003400001806020006040800080901300005200000092530600018000240', '0');
INSERT INTO Puzzle values('244', 'medium', '94', '600795000059000000200863000006012030403000108010380600000639005000000460000124003', '0');
INSERT INTO Puzzle values('245', 'medium', '95', '000007040380900600007038900010092060900186005030470090001560400003009016060700000', '0');
INSERT INTO Puzzle values('246', 'medium', '96', '108020060500003000092076050005000040910564027080000600070350280000800006050010304', '0');
INSERT INTO Puzzle values('247', 'medium', '97', '603900000000562003000430570826000010005070800010000234072053000100726000000004307', '0');
INSERT INTO Puzzle values('248', 'medium', '98', '080070040400036000502814060004003001000491000100200400030649502000120007010050090', '0');
INSERT INTO Puzzle values('249', 'medium', '99', '030700000265800000800002053904003078000275000350900106590400007000008219000007080', '0');
INSERT INTO Puzzle values('250', 'medium', '100', '139500004400003005025000096002000041600040008570000900910000480700100002200006159', '0');
INSERT INTO Puzzle values('251', 'medium', '101', '400200050650040900020091000910020600200917005005060029000650080009070063060002001', '0');
INSERT INTO Puzzle values('252', 'medium', '102', '000360000032409500050280430010000300803000109005000020068024090009601240000078000', '0');
INSERT INTO Puzzle values('253', 'medium', '103', '070609030480000915000004720000590000109070502000042000058400000763000059010905070', '0');
INSERT INTO Puzzle values('254', 'medium', '104', '030019000160700905000060040007480100200507003008026400020070000706002018000630090', '0');
INSERT INTO Puzzle values('255', 'medium', '105', '009600080750000400804001506000203800002587600007106000105700908008000065090005200', '0');
INSERT INTO Puzzle values('256', 'medium', '106', '000302009386000240050060000800605010070204080060907004000040070034000698100706000', '0');
INSERT INTO Puzzle values('257', 'medium', '107', '004600005000070080608105000361000040052846730040000569000703104030020000100009600', '0');
INSERT INTO Puzzle values('258', 'medium', '108', '590080020008000400000453000900001084142000769860900003000275000003000900020040057', '0');
INSERT INTO Puzzle values('259', 'medium', '109', '400010027000473600000060340010025908000080000807340050082090000001832000370050009', '0');
INSERT INTO Puzzle values('260', 'medium', '110', '629078000030000408400100000000860712004030900768021000000005004901000060000710235', '0');
INSERT INTO Puzzle values('261', 'medium', '111', '940700008200009000631058002000806030050040080010503000500180629000300001100002053', '0');
INSERT INTO Puzzle values('262', 'medium', '112', '300045017019000630004063008000700090000236000040009000400390800097000340230470009', '0');
INSERT INTO Puzzle values('263', 'medium', '113', '240090870500800042000042000000305190000908000015407000000180000390004006027050038', '0');
INSERT INTO Puzzle values('264', 'medium', '114', '050000008002000700400098603009150070761020435030047200308960007006000300500000060', '0');
INSERT INTO Puzzle values('265', 'medium', '115', '018072000600005800450098003960084000000000000000260045800710092002400006000820130', '0');
INSERT INTO Puzzle values('266', 'medium', '116', '000002780070030060000507102400001037053020890910800006106209000090040010042100000', '0');
INSERT INTO Puzzle values('267', 'medium', '117', '083970650000006030000810007230400000709080304000009086900024000020600000041098560', '0');
INSERT INTO Puzzle values('268', 'medium', '118', '100004000000006070620500431905080000208405903000020705482001057030600000000800004', '0');
INSERT INTO Puzzle values('269', 'medium', '119', '800260001650304000003008006006079100500040002009180300900400700000901024200057009', '0');
INSERT INTO Puzzle values('270', 'medium', '120', '005070000090800000008045976576000184000000000942000635367420800000006090000010400', '0');
INSERT INTO Puzzle values('271', 'medium', '121', '000200038200030070000010295901300007800507004600001503369070000080090001170005000', '0');
INSERT INTO Puzzle values('272', 'medium', '122', '007480500006000004401070020614807009000000000800309476040090607100000800008025300', '0');
INSERT INTO Puzzle values('273', 'medium', '123', '000500000900000470740090006290730500407952103005084027300060018024000005000003000', '0');
INSERT INTO Puzzle values('274', 'medium', '124', '700008510804060000000459070405000300970000025003000107060394000000070903089500001', '0');
INSERT INTO Puzzle values('275', 'medium', '125', '782000060000800070000092085950037020007040300040260057510670000020003000070000596', '0');
INSERT INTO Puzzle values('276', 'medium', '126', '600073902900000043200060000010006037860050029470300010000020004320000001706830005', '0');
INSERT INTO Puzzle values('277', 'medium', '127', '000005493001304068403860000900006000080000030000500001000021807760403200214900000', '0');
INSERT INTO Puzzle values('278', 'medium', '128', '800004020502301706000600005020050300030408070008030010400003000309802407060700009', '0');
INSERT INTO Puzzle values('279', 'medium', '129', '900054001006000503003607890000960300008000700005042000067501400309000200200890007', '0');
INSERT INTO Puzzle values('280', 'medium', '130', '800094000493006000005030709050008010600319005080400030106080200000100496000640001', '0');
INSERT INTO Puzzle values('281', 'medium', '131', '840600037327001000060000009290006070070030040010700058900000080000300795750008013', '0');
INSERT INTO Puzzle values('282', 'medium', '132', '100008073740900800000013090000007008389020147600400000030170000001004089470800006', '0');
INSERT INTO Puzzle values('283', 'medium', '133', '280500130007000040104003009000080396700040002368050000500600903010000700079008015', '0');
INSERT INTO Puzzle values('284', 'medium', '134', '006504830540100000038700010000007000287050694000900000070009350000003069029805100', '0');
INSERT INTO Puzzle values('285', 'medium', '135', '000300907070028010386000050003405020200080004040206700050000271020750060807002000', '0');
INSERT INTO Puzzle values('286', 'medium', '136', '030000091109700300628900000000348100010000040006175000000004582005007403860000010', '0');
INSERT INTO Puzzle values('287', 'medium', '137', '017093020200007000003024760090102008000050000600409050021970800000200009060380470', '0');
INSERT INTO Puzzle values('288', 'medium', '138', '040020000067000029090305007920058000080137040000290056800902070250000160000080090', '0');
INSERT INTO Puzzle values('289', 'medium', '139', '102800000980702000600490000260070401800040003409060072000023007000907056000004109', '0');
INSERT INTO Puzzle values('290', 'medium', '140', '000000200003501740142080300008340000790010032000072100001030964037809500009000000', '0');
INSERT INTO Puzzle values('291', 'medium', '141', '208000000500270600071000049009706801080000020307801900910000360003062007000000405', '0');
INSERT INTO Puzzle values('292', 'medium', '142', '360000082052680000000000600279014008800000004500870391001000000000098420480000039', '0');
INSERT INTO Puzzle values('293', 'medium', '143', '005004010820001040010000908180060037500000009760090052201000060090300074070200500', '0');
INSERT INTO Puzzle values('294', 'medium', '144', '706080900520090000908150700100800600000506000002009004005078102000030086009060307', '0');
INSERT INTO Puzzle values('295', 'medium', '145', '200148900000090087000000420652009000800425006000800275026000000380070000001962008', '0');
INSERT INTO Puzzle values('296', 'medium', '146', '900000040020060907104007060805200704700090006602008509060800105509020070030000002', '0');
INSERT INTO Puzzle values('297', 'medium', '147', '029300407000200100160050029038000000050437010000000790890040051005008000603005870', '0');
INSERT INTO Puzzle values('298', 'medium', '148', '500000003073004190000506780000090047460020019190050000026908000041300270700000006', '0');
INSERT INTO Puzzle values('299', 'medium', '149', '400700005583000006067030200000290004040107060700046000008010490900000583300009002', '0');
INSERT INTO Puzzle values('300', 'medium', '150', '000080500000400060000612384400000970370964015025000006862347000050008000004090000', '0');
INSERT INTO Puzzle values('301', 'hard', '1', '801040060200100000000397000070002009009714300300900070000563000000001002040020603', '0');
INSERT INTO Puzzle values('302', 'hard', '2', '000000572003427090087000000000561009010000050900342000000000710030976400574000000', '0');
INSERT INTO Puzzle values('303', 'hard', '3', '000902004001300820400050030043200000070080050000007940030020005019003400200109000', '0');
INSERT INTO Puzzle values('304', 'hard', '4', '034001078108300005070004000000013050000090000020870000000200060800009104240100530', '0');
INSERT INTO Puzzle values('305', 'hard', '5', '260580004001279000005000000600000090042030560070000001000000200000325700500014038', '0');
INSERT INTO Puzzle values('306', 'hard', '6', '490561003050300000800709000080070000706000105000010060000408007000003040300657082', '0');
INSERT INTO Puzzle values('307', 'hard', '7', '000700008700050104095000730304006000016000450000100609029000870103070002500002000', '0');
INSERT INTO Puzzle values('308', 'hard', '8', '000610407000047903000000500860090240005000100041020036007000000208470000604058000', '0');
INSERT INTO Puzzle values('309', 'hard', '9', '300060000009000100080000946250047630000506000038120054593000060006000200000070001', '0');
INSERT INTO Puzzle values('310', 'hard', '10', '410000650008030100700000200040610093000020000350097020002000006004060300091000087', '0');
INSERT INTO Puzzle values('311', 'hard', '11', '003001000608050090090200060800302650300000009054609003040003010030020406000400700', '0');
INSERT INTO Puzzle values('312', 'hard', '12', '017800009004500010020040080970008120000000000038200096060020070090004600100006830', '0');
INSERT INTO Puzzle values('313', 'hard', '13', '803010600700400020000000400230705090400090007080306054009000000070009002008050901', '0');
INSERT INTO Puzzle values('314', 'hard', '14', '005000060001070053030150084900000430000607000053000006720081040510090600080000500', '0');
INSERT INTO Puzzle values('315', 'hard', '15', '607000010050100000004730006360009200008010900001200058100025700000007030030000405', '0');
INSERT INTO Puzzle values('316', 'hard', '16', '002040810640002500780010000003100002004000700200007300000080079006900045097050200', '0');
INSERT INTO Puzzle values('317', 'hard', '17', '305120000000940300108060709020000001000209000800000060902080507007013000000092104', '0');
INSERT INTO Puzzle values('318', 'hard', '18', '000206105001005000050917060900000370070000020048000009010892030000500900609103000', '0');
INSERT INTO Puzzle values('319', 'hard', '19', '000810400001007080800004109000045302000701000504680000205400003030100700006059000', '0');
INSERT INTO Puzzle values('320', 'hard', '20', '040710003000043000329050040003060400010000030006070200070030896000590000400026070', '0');
INSERT INTO Puzzle values('321', 'hard', '21', '000010547001005600500036000067000020000328000020000810000950001008200900975080000', '0');
INSERT INTO Puzzle values('322', 'hard', '22', '703008000400070000908400002030000920090135080071000030500002603000010007000700809', '0');
INSERT INTO Puzzle values('323', 'hard', '23', '150000200003008006076502000018020030300000002020060580000703920700900800001000073', '0');
INSERT INTO Puzzle values('324', 'hard', '24', '003007002010003090407000850058109000100000006000408520079000208060700030800300700', '0');
INSERT INTO Puzzle values('325', 'hard', '25', '980000004230548010007209000000700009000401000500003000000902700090687031800000092', '0');
INSERT INTO Puzzle values('326', 'hard', '26', '092500017000000004850016000040207090000401000070308020000120063100000000720005940', '0');
INSERT INTO Puzzle values('327', 'hard', '27', '000600270050730080074509000000000807090050040705000000000305160080096020062004000', '0');
INSERT INTO Puzzle values('328', 'hard', '28', '006030005070000408040802030600005000907020103000300007080503090304000050700040300', '0');
INSERT INTO Puzzle values('329', 'hard', '29', '056300000004600908002000500200963070900000003010587004001000400407008300000005680', '0');
INSERT INTO Puzzle values('330', 'hard', '30', '009100078008500006040870100000010030260000015070050000004025090600001500150004600', '0');
INSERT INTO Puzzle values('331', 'hard', '31', '380250100640009200007406000002000000400908001000000700000304800004600073001072069', '0');
INSERT INTO Puzzle values('332', 'hard', '32', '701800060008004000030520000007100539002000600563008200000087040000300800070009301', '0');
INSERT INTO Puzzle values('333', 'hard', '33', '003710050600020107010080090100009000089000320000500001060090010801050004050061800', '0');
INSERT INTO Puzzle values('334', 'hard', '34', '300009000008050030900378560000000680000261000063000000026895004050030200000700009', '0');
INSERT INTO Puzzle values('335', 'hard', '35', '630010980007090004109003000500000010006205800020000009000700401200080300094060058', '0');
INSERT INTO Puzzle values('336', 'hard', '36', '001002000000400000973000802097300508800090004402007390704000235000001000000500400', '0');
INSERT INTO Puzzle values('337', 'hard', '37', '200090003009710000075000910000076204000105000603920000067000350000067800100050007', '0');
INSERT INTO Puzzle values('338', 'hard', '38', '030070000010460003000003006006300480084605970095004600900800000200057060000040010', '0');
INSERT INTO Puzzle values('339', 'hard', '39', '000008023000003008403000100008904600120050084004201300006000409800500000590600000', '0');
INSERT INTO Puzzle values('340', 'hard', '40', '206730009000900204005080000400008600089000720007300008000060900308001000600097301', '0');
INSERT INTO Puzzle values('341', 'hard', '41', '080005390004060000050000007800300102003451700709002003400000020000040800026900030', '0');
INSERT INTO Puzzle values('342', 'hard', '42', '480050001000060807067001002001000004045000360300000100100200490804010000900080016', '0');
INSERT INTO Puzzle values('343', 'hard', '43', '039000000000018000072040900203709680050000020091602403004060290000270000000000130', '0');
INSERT INTO Puzzle values('344', 'hard', '44', '030000902480029700000700060091204070000000000050603140070008000009540083803000050', '0');
INSERT INTO Puzzle values('345', 'hard', '45', '045001080008003000009000705984076000000080000000340829506000100000500900010600570', '0');
INSERT INTO Puzzle values('346', 'hard', '46', '000006750017200000450090006080000107760000082302000060800010023000008590025600000', '0');
INSERT INTO Puzzle values('347', 'hard', '47', '030500007005090602000030090000607308620000045301205000050060000802070900900004070', '0');
INSERT INTO Puzzle values('348', 'hard', '48', '000003050300070902201090000687019300000000000003560487000080504106050008090300000', '0');
INSERT INTO Puzzle values('349', 'hard', '49', '540300908609010000208600000007000009100040003300000400000002104000030507805009026', '0');
INSERT INTO Puzzle values('350', 'hard', '50', '090080000200436005008050000410800500806000403007004081000090200900642007000070050', '0');
INSERT INTO Puzzle values('351', 'hard', '51', '005009180307000500080001400030067200100000007006490050003600040004000302091300700', '0');
INSERT INTO Puzzle values('352', 'hard', '52', '000060902300920007000501000100085090004209300090640001000104000500072004408050000', '0');
INSERT INTO Puzzle values('353', 'hard', '53', '039000000004180030000006042067000005090651020400000860970400000010098400000000690', '0');
INSERT INTO Puzzle values('354', 'hard', '54', '012000076004200100700000450000508000390060045000109000023000004009005600140000590', '0');
INSERT INTO Puzzle values('355', 'hard', '55', '510000000408036000036450002070040000809000701000010030700094360000670804000000027', '0');
INSERT INTO Puzzle values('356', 'hard', '56', '304000006700935000000070902002000090039501240070000300508090000000483009900000104', '0');
INSERT INTO Puzzle values('357', 'hard', '57', '409010000030907610000403900000500070071000850050002000003209000084701060000080307', '0');
INSERT INTO Puzzle values('358', 'hard', '58', '400600000008309204007000810046083000200000006000140520092000300604905100000004009', '0');
INSERT INTO Puzzle values('359', 'hard', '59', '100695400059000000000100060013700020060201090070003810090002000000000780002468009', '0');
INSERT INTO Puzzle values('360', 'hard', '60', '400000090209301000000890130105003000006050700000100809012039000000207305070000001', '0');
INSERT INTO Puzzle values('361', 'hard', '61', '049070010100042900000009840035000000200080009000000260093700000007610004010030620', '0');
INSERT INTO Puzzle values('362', 'hard', '62', '020300100300009000001000032500001604402050308608400009190000400000100003003002080', '0');
INSERT INTO Puzzle values('363', 'hard', '63', '004107002070008003020040500200014000080703020000860001002070030700300050900205100', '0');
INSERT INTO Puzzle values('364', 'hard', '64', '000310000092008000001060008080572006056000240100634050200080500000100380000057000', '0');
INSERT INTO Puzzle values('365', 'hard', '65', '600000109050003704000900000000109047800572001910304000000006000105400070704000006', '0');
INSERT INTO Puzzle values('366', 'hard', '66', '000800000003009065070020080840600097900108004120004038050070040710900300000003000', '0');
INSERT INTO Puzzle values('367', 'hard', '67', '507006800000904000190200300401000070900060003060000401009008035000305000005700904', '0');
INSERT INTO Puzzle values('368', 'hard', '68', '020000435019030700300460000030004510000000000047900020000089004005040860284000050', '0');
INSERT INTO Puzzle values('369', 'hard', '69', '006920050000003000300008069507002300002070900009300706620400001000200000040057800', '0');
INSERT INTO Puzzle values('370', 'hard', '70', '072000004000500200008027500200008050930070046080300001009750100006003000300000690', '0');
INSERT INTO Puzzle values('371', 'hard', '71', '030064901009500006000008070820005090300000005050100023040600000500003400903240050', '0');
INSERT INTO Puzzle values('372', 'hard', '72', '000823000032010009045700800000000690007902100051000000008009410200070950000284000', '0');
INSERT INTO Puzzle values('373', 'hard', '73', '000306000000750086006008100034800509080000020902005830003900600590071000000503000', '0');
INSERT INTO Puzzle values('374', 'hard', '74', '000104070070800940000090108700900300060702010003008007805060000047009050090503000', '0');
INSERT INTO Puzzle values('375', 'hard', '75', '000870000570036000009001050820000040010764080060000073050200100000690024000017000', '0');
INSERT INTO Puzzle values('376', 'hard', '76', '408030000506000004000004960001063002005207100800150700052300000600000807000070305', '0');
INSERT INTO Puzzle values('377', 'hard', '77', '005010608007050009000904007000108092300000005180509000700302000800040900609080500', '0');
INSERT INTO Puzzle values('378', 'hard', '78', '600152400104600000000000090060004007700896003900300050010000000000001302002465001', '0');
INSERT INTO Puzzle values('379', 'hard', '79', '000000052087560090001204008000900400090010080005006000500107600010049520760000000', '0');
INSERT INTO Puzzle values('380', 'hard', '80', '007002000000083052520090801000000105700304009901000000308040067640970000000600200', '0');
INSERT INTO Puzzle values('381', 'hard', '81', '984000320000904700020000000000500086860090047410008000000000050002309000043000279', '0');
INSERT INTO Puzzle values('382', 'hard', '82', '580100000009600135030005000050007201006000900804200060000700010128004300000001029', '0');
INSERT INTO Puzzle values('383', 'hard', '83', '000090750009530000400001000250360080008204500060058042000100009000076400016040000', '0');
INSERT INTO Puzzle values('384', 'hard', '84', '700400002200190050000000913050049600600000004009280070915000000070051009300004005', '0');
INSERT INTO Puzzle values('385', 'hard', '85', '000006743090075000704000005032010090000030000040060370800000502000820030429600000', '0');
INSERT INTO Puzzle values('386', 'hard', '86', '063007000809200000070000400320006080907050201040800095004000070000009803000700650', '0');
INSERT INTO Puzzle values('387', 'hard', '87', '200086500080400136000500020000028007000040000500960000030007000856001090001850002', '0');
INSERT INTO Puzzle values('388', 'hard', '88', '086302009000105800530000000200000060040258090090000007000000084002504000300807210', '0');
INSERT INTO Puzzle values('389', 'hard', '89', '000092700000800500074106080040000600902030801003000050050601930006009000009480000', '0');
INSERT INTO Puzzle values('390', 'hard', '90', '030200000005901830200000460000002573000090000321700000056000001042103700000005040', '0');
INSERT INTO Puzzle values('391', 'hard', '91', '090100602004020510000600980500007060000040000040800009023001000016050400405008020', '0');
INSERT INTO Puzzle values('392', 'hard', '92', '600090040092405007000806001030200004007000100400001070700608000100509780020070005', '0');
INSERT INTO Puzzle values('393', 'hard', '93', '805000604000000010200036000004063029002907800380140500000790008030000000706000402', '0');
INSERT INTO Puzzle values('394', 'hard', '94', '000020370040100008700300010600500709007080600503002004070008003400006090039040000', '0');
INSERT INTO Puzzle values('395', 'hard', '95', '257001080400090000000020310000560008020903040900018000082050000000040007040300962', '0');
INSERT INTO Puzzle values('396', 'hard', '96', '005600020003400500000000431500000240070394010014000007291000000008005100050008700', '0');
INSERT INTO Puzzle values('397', 'hard', '97', '094020106000060090000008070980003002300207009400100053060800000020090000703010960', '0');
INSERT INTO Puzzle values('398', 'hard', '98', '082701009500290340006000000000100900400020001007004000000000600095032007700409280', '0');
INSERT INTO Puzzle values('399', 'hard', '99', '386040021000605000002000040000007083068000710430100000040000300000506000790030265', '0');
INSERT INTO Puzzle values('400', 'hard', '100', '100070400030010620000800000500100230380020069021009004000002000058030040006090008', '0');
INSERT INTO Puzzle values('401', 'hard', '101', '000805600020010079001627000000002710100000003067100000000764100870050090004908000', '0');
INSERT INTO Puzzle values('402', 'hard', '102', '000801037050000010010390200001708000030020060000604800003089020060000040280403000', '0');
INSERT INTO Puzzle values('403', 'hard', '103', '900083000060000001040507000002050003795030186800070200000105090100000030000390007', '0');
INSERT INTO Puzzle values('404', 'hard', '104', '700000304008020050000009070480030201105000403203010085060400000010050900504000008', '0');
INSERT INTO Puzzle values('405', 'hard', '105', '004605000953700680001000000007000020205060104010000700000000400046002893000908500', '0');
INSERT INTO Puzzle values('406', 'hard', '106', '000010000030008021291000008000003609609070803305800000900000315540900080000060000', '0');
INSERT INTO Puzzle values('407', 'hard', '107', '086029004900010000140000800039005070000030000020400530001000063000040009200960140', '0');
INSERT INTO Puzzle values('408', 'hard', '108', '600080000305040090010050086900007300058000260003600008570030010040060807000070002', '0');
INSERT INTO Puzzle values('409', 'hard', '109', '002060040100900070970800005389007020000000000010200837700003086020009003040070100', '0');
INSERT INTO Puzzle values('410', 'hard', '110', '030092700700800600609050080000006200300709001002500000090070504007005008006130020', '0');
INSERT INTO Puzzle values('411', 'hard', '111', '109050820045000006080690000251000400000000000008000763000025070900000530027040609', '0');
INSERT INTO Puzzle values('412', 'hard', '112', '000000000000613400360048021900800040032000980080009006720360094003285000000000000', '0');
INSERT INTO Puzzle values('413', 'hard', '113', '700009000208100004090082150300090800070000040004070005047930010900007403000500009', '0');
INSERT INTO Puzzle values('414', 'hard', '114', '783605090005002874009000000000000001030701080900000000000000200378200900040908753', '0');
INSERT INTO Puzzle values('415', 'hard', '115', '890604000004002700007080059000000870000219000032000000950030600008700300000506084', '0');
INSERT INTO Puzzle values('416', 'hard', '116', '080406000600010000150078030700005004018000920500300001030760059000050003000201080', '0');
INSERT INTO Puzzle values('417', 'hard', '117', '250390008900004010000000500007040956000070000613020800006000000080900007300067025', '0');
INSERT INTO Puzzle values('418', 'hard', '118', '004000300002100000730005040360047020001302700080510036020900064000003900009000500', '0');
INSERT INTO Puzzle values('419', 'hard', '119', '000617000002500700016000040057000361004000200639000480060000520008006100000851000', '0');
INSERT INTO Puzzle values('420', 'hard', '120', '000207006602000400000040300018300060306804502050006130007020000003000801400105000', '0');
INSERT INTO Puzzle values('421', 'hard', '121', '018006200200001000090000840900000160061020580083000009029000070000700008005800430', '0');
INSERT INTO Puzzle values('422', 'hard', '122', '024080070900027000600104000000000753009705200547000000000402007000510004050070690', '0');
INSERT INTO Puzzle values('423', 'hard', '123', '060001782000050300400007000030009124000030000741500030000700008004020000156900070', '0');
INSERT INTO Puzzle values('424', 'hard', '124', '600000200005018034040000006000030072301502908780090000500000080290480300003000001', '0');
INSERT INTO Puzzle values('425', 'hard', '125', '701000005900400603000901002009200001810000034200005800500604000106002009400000507', '0');
INSERT INTO Puzzle values('426', 'hard', '126', '206000090350820100890300000600204000005000700000503002000007026002018073070000809', '0');
INSERT INTO Puzzle values('427', 'hard', '127', '000003025006010704000006900603105007050000080800904306008700000209060100760300000', '0');
INSERT INTO Puzzle values('428', 'hard', '128', '700063500008700000610080007803400020009000800020006305300040081000008700004130009', '0');
INSERT INTO Puzzle values('429', 'hard', '129', '000000000008502907010678000260900405000020000507004031000756040805309700000000000', '0');
INSERT INTO Puzzle values('430', 'hard', '130', '061954000400082005000000030050041000002090500000230080020000000700420006000867420', '0');
INSERT INTO Puzzle values('431', 'hard', '131', '060002000710005000000837104092000000370050092000000380604581000000300045000700020', '0');
INSERT INTO Puzzle values('432', 'hard', '132', '000806000000170305030000067008900070709060502060008100650000010103049000000301000', '0');
INSERT INTO Puzzle values('433', 'hard', '133', '070030068200000000001000047005702900400598001007103600920000100000000006650010020', '0');
INSERT INTO Puzzle values('434', 'hard', '134', '050003674001004502020007000000000300600825001004000000000100050708500200245300010', '0');
INSERT INTO Puzzle values('435', 'hard', '135', '000010374000300006030927500201065000000000000000430201003251040700009000482070000', '0');
INSERT INTO Puzzle values('436', 'hard', '136', '100740000008005300060003070005028000407050201000470900070600090003800400000092003', '0');
INSERT INTO Puzzle values('437', 'hard', '137', '080000002103000000500790408420900300005601900008005021204068003000000807800000040', '0');
INSERT INTO Puzzle values('438', 'hard', '138', '000080400040057200000000568009520103500000004708019600276000000005160080004090000', '0');
INSERT INTO Puzzle values('439', 'hard', '139', '030400506040002000002130490009820600000000000003057800098045200000600050504003010', '0');
INSERT INTO Puzzle values('440', 'hard', '140', '040006900079304008210900000007120000008000200000097100000001092900502370006400010', '0');
INSERT INTO Puzzle values('441', 'hard', '141', '000000030000000720800673010300890070207030908090047003060215004052000000080000000', '0');
INSERT INTO Puzzle values('442', 'hard', '142', '048001700000740082020000030004079010009000400010350200080000020950067000001800950', '0');
INSERT INTO Puzzle values('443', 'hard', '143', '040030070705000900000000410097400130800060004024009860016000000008000301030050020', '0');
INSERT INTO Puzzle values('444', 'hard', '144', '705080001390700060002059000004005070000103000050800600000510900010007026400090305', '0');
INSERT INTO Puzzle values('445', 'hard', '145', '020600705000000008005071000507009602010060030609100407000910800400000000908002050', '0');
INSERT INTO Puzzle values('446', 'hard', '146', '000064090010000042062098300890000000100020006000000079001370460540000020070450000', '0');
INSERT INTO Puzzle values('447', 'hard', '147', '009100500000000060100005040074013002036020480500480630060900004020000000005008700', '0');
INSERT INTO Puzzle values('448', 'hard', '148', '005600700060000302000093056800100009000845000500002004120360000608000020009007100', '0');
INSERT INTO Puzzle values('449', 'hard', '149', '051400200040700800702090000407000000030541070000000103000020409005004030004008560', '0');
INSERT INTO Puzzle values('450', 'hard', '150', '902708000030906010600020000009001207000050000507200800000070003050309020000502106', '0');
